LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,Value,Flag Codes,Flags
G-7,G7,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,32670.24028,,
OECD,OECD - Total,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,26205.96799,,
COL,Colombia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,7077.150862,,
LVA,Latvia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,10080.30991,,
LTU,Lithuania,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,10480.71937,,
EA19,Euro area (19 countries),T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,27621.55933,,
CRI,Costa Rica,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,8850.952746,,
EU27_2020,European Union – 27 countries (from 01/02/2020),T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2002,2002,USD,US Dollar,24244.42786,,
AUS,Australia,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,32352.94183,,
AUT,Austria,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,32156.83636,,
BEL,Belgium,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,30933.26195,,
CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,32350.07089,,
CZE,Czech Republic,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,19523.4141,,
DNK,Denmark,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,30823.66976,,
FIN,Finland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,29051.57568,,
FRA,France,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,28177.1545,,
DEU,Germany,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,30269.46437,,
GRC,Greece,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,23896.54918,,
HUN,Hungary,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,15481.3201,,
ISL,Iceland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,32724.22053,,
IRL,Ireland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,36278.79546,,
ITA,Italy,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,29153.19229,,
JPN,Japan,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,29411.59288,,
KOR,Korea,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,22096.02307,,
LUX,Luxembourg,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,60112.40829,,
MEX,Mexico,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,11308.49237,,
NLD,Netherlands,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,34150.26028,,
NZL,New Zealand,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,23868.72926,,
NOR,Norway,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,38592.48127,,
POL,Poland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,12291.54146,,
PRT,Portugal,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,20851.13101,,
SVK,Slovak Republic,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,14165.40496,,
ESP,Spain,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,25041.02584,,
SWE,Sweden,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,31814.96584,,
CHE,Switzerland,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,38551.70522,,
TUR,Turkey,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,9597.452175,,
GBR,United Kingdom,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,30360.66621,,
USA,United States,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",2003,2003,USD,US Dollar,39419.90737,,
