"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ESP","HUR","MEN","PC_LF","M","2008-11",12.9,
"ESP","HUR","MEN","PC_LF","M","2008-12",14.1,
"ESP","HUR","MEN","PC_LF","M","2009-01",15.3,
"ESP","HUR","MEN","PC_LF","M","2009-02",16.3,
"ESP","HUR","MEN","PC_LF","M","2009-03",17.1,
"ESP","HUR","MEN","PC_LF","M","2009-04",17.5,
"ESP","HUR","MEN","PC_LF","M","2009-05",17.7,
"ESP","HUR","MEN","PC_LF","M","2009-06",17.7,
"ESP","HUR","MEN","PC_LF","M","2009-07",17.9,
"ESP","HUR","MEN","PC_LF","M","2009-08",18.1,
"ESP","HUR","MEN","PC_LF","M","2009-09",18.4,
"ESP","HUR","MEN","PC_LF","M","2009-10",18.6,
"ESP","HUR","MEN","PC_LF","M","2009-11",18.6,
"ESP","HUR","MEN","PC_LF","M","2009-12",18.8,
"ESP","HUR","MEN","PC_LF","M","2010-01",19.2,
"ESP","HUR","MEN","PC_LF","M","2010-02",19.3,
"ESP","HUR","MEN","PC_LF","M","2010-03",19.4,
"ESP","HUR","MEN","PC_LF","M","2010-04",19.5,
"ESP","HUR","MEN","PC_LF","M","2010-05",19.6,
"ESP","HUR","MEN","PC_LF","M","2010-06",19.6,
"ESP","HUR","MEN","PC_LF","M","2010-07",19.4,
"ESP","HUR","MEN","PC_LF","M","2010-08",19.6,
"ESP","HUR","MEN","PC_LF","M","2010-09",19.7,
"ESP","HUR","MEN","PC_LF","M","2010-10",19.7,
"ESP","HUR","MEN","PC_LF","M","2010-11",19.9,
"ESP","HUR","MEN","PC_LF","M","2010-12",20.1,
"ESP","HUR","MEN","PC_LF","M","2011-01",20,
"ESP","HUR","MEN","PC_LF","M","2011-02",20,
"ESP","HUR","MEN","PC_LF","M","2011-03",20.2,
"ESP","HUR","MEN","PC_LF","M","2011-04",20.3,
"ESP","HUR","MEN","PC_LF","M","2011-05",20.4,
"ESP","HUR","MEN","PC_LF","M","2011-06",20.7,
"ESP","HUR","MEN","PC_LF","M","2011-07",21,
"ESP","HUR","MEN","PC_LF","M","2011-08",21.3,
"ESP","HUR","MEN","PC_LF","M","2011-09",21.7,
"ESP","HUR","MEN","PC_LF","M","2011-10",22.1,
"ESP","HUR","MEN","PC_LF","M","2011-11",22.4,
