,GoldDiff
2122,8886
2123,18608
2124,10798
2125,10824
2126,14996
2127,11163
2128,3899
2129,8076
2130,7435
2131,16197
2132,14338
2133,13060
2134,10623
2135,21857
2136,4176
2137,10101
2138,18592
2139,14512
2140,7635
2141,12914
2142,11967
2143,11717
2144,9994
2145,4915
2146,9375
2147,12203
2148,12695
2149,467
2150,6821
2151,7939
2152,12949
2153,8311
2154,10018
2155,8560
2156,8665
2157,8036
2158,8022
2159,6791
2160,5978
2161,10910
2162,4774
2163,12000
2164,15011
2165,12531
2166,7177
2167,7381
2168,18275
2169,7323
2170,12093
2171,11855
2172,9215
2173,11896
2174,13268
2175,6984
2176,13710
2177,12299
2178,11946
2179,6796
2180,12900
2181,24051
2182,3869
2183,12745
2184,9287
2185,3533
2186,9265
2187,6773
2188,9108
2189,8266
2190,15035
2191,17690
2192,7954
2193,4020
2194,5777
2195,11969
2196,12419
2197,13447
2198,5438
2199,5327
2200,9668
2201,8536
2202,10485
2203,12486
2204,6844
2205,9249
2206,6028
2207,12429
2208,7830
2209,11698
2210,4295
2211,6699
2212,7774
2213,10160
2214,10229
2215,5123
2216,7967
2217,673
2218,11122
2219,8585
2220,3459
2221,9538
2222,10218
2223,4075
2224,13775
2225,8153
2226,2452
2227,5560
2228,7154
2229,6057
2230,12702
2231,4272
2232,9453
2233,7462
2234,7480
2235,7955
2236,5853
2237,8371
2238,12006
2239,13074
2240,13071
2241,7335
2242,12307
2243,6093
2244,15638
2245,11773
2246,8950
2247,5090
2248,14250
2249,14698
2250,6915
2251,9713
2252,11357
2253,19078
2254,5687
2255,14212
2256,3862
2257,8879
2258,5874
2259,3280
2260,8226
2261,310
2262,3839
2263,6392
2264,11519
2265,9899
2266,5352
2267,12186
2268,14099
2269,4638
2270,12606
2271,7821
2272,8026
2273,12499
2274,3489
2275,12829
2276,11304
2277,12529
2278,9806
2279,13904
2280,4657
2281,14142
2282,6138
2283,7442
2284,5248
2285,6596
2286,9940
2287,8616
2288,16299
2289,13826
2290,10547
2291,12918
2292,9599
2293,12521
2294,9381
2295,12784
2296,14595
2297,7037
2298,9717
2299,7424
2300,3468
2301,7572
2302,8311
2303,9270
2304,4753
2305,5850
2306,5628
2307,6715
2308,12409
2309,10176
2310,5196
2311,10137
2312,14500
2313,12487
2314,10659
2315,11311
2316,10404
2317,10626
2318,9141
2319,10275
2320,9701
2321,3132
2322,11566
2323,12423
2324,5560
2325,4296
2326,6806
2327,11482
2328,5161
2329,12802
2330,14049
2331,11209
2332,14362
2333,9991
2334,10191
2335,6286
2336,6616
2337,11393
2338,17233
2339,9589
2340,6531
2341,8148
2342,6228
2343,14636
2344,14377
2345,5950
2346,7578
2347,6397
2348,10063
2349,9689
2350,11290
2351,12330
2352,2939
2353,9684
2354,11193
2355,13768
2356,9668
2357,13468
2358,12282
2359,11551
2360,7208
2361,9174
2362,8354
2363,9288
2364,5431
2365,4360
2366,10817
2367,667
2368,7564
2369,10156
2370,8962
2371,7065
2372,13961
2373,10987
2374,8683
2375,8150
2376,12476
2377,11547
2378,12192
2379,9716
2380,9379
2381,6014
2382,5511
2383,18031
2384,14060
2385,13640
2386,9627
2387,9094
2388,4502
2389,11331
2390,12972
2391,11034
2392,5994
2393,8706
2394,3274
2395,11252
2396,9468
2397,9672
2398,8667
2399,6457
2400,6524
2401,7028
2402,9971
2403,16887
2404,8825
2405,6234
2406,8409
2407,12331
2408,8097
2409,6603
2410,6328
2411,10901
2412,8503
2413,6559
2414,15584
2415,14610
2416,11891
2417,13061
2418,7099
2419,9128
2420,11867
2421,9302
2422,9577
2423,13969
2424,10855
2425,5227
2426,16309
2427,10430
2428,14310
2429,4500
2430,10537
2431,13242
2432,12796
2433,9881
2434,4506
2435,6587
2436,7486
2437,19377
2438,12253
2439,4404
2440,14466
2441,8671
