"COUNTRY","Pays","SERIES","Séries","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","EUR","Euro","0","Unités","2020","2020",41570.1205830321,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2018","2018","EUR","Euro","0","Unités","2020","2020",42177.4983557215,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2019","2019","EUR","Euro","0","Unités","2020","2020",42827.9911676075,,
"DEU","Allemagne","CNPNCU","en prix constants 2020 et en monnaie nationale ","2020","2020","EUR","Euro","0","Unités","2020","2020",42593.1263713466,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2000","2000","EUR","Euro","0","Unités","2020","2020",17123.6343254156,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2001","2001","EUR","Euro","0","Unités","2020","2020",17699.3123101974,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2002","2002","EUR","Euro","0","Unités","2020","2020",19309.860400058,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2003","2003","EUR","Euro","0","Unités","2020","2020",20158.8768910163,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2004","2004","EUR","Euro","0","Unités","2020","2020",20529.6368472324,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2005","2005","EUR","Euro","0","Unités","2020","2020",20460.5730702642,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2006","2006","EUR","Euro","0","Unités","2020","2020",20705.0182277369,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2007","2007","EUR","Euro","0","Unités","2020","2020",20708.7717373107,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2008","2008","EUR","Euro","0","Unités","2020","2020",20387.5303036545,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2009","2009","EUR","Euro","0","Unités","2020","2020",21351.0872239887,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2010","2010","EUR","Euro","0","Unités","2020","2020",20375.641242192,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2011","2011","EUR","Euro","0","Unités","2020","2020",19082.0483858244,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2012","2012","EUR","Euro","0","Unités","2020","2020",17972.2070409901,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2013","2013","EUR","Euro","0","Unités","2020","2020",16797.9073902738,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2014","2014","EUR","Euro","0","Unités","2020","2020",16730.8788688664,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2015","2015","EUR","Euro","0","Unités","2020","2020",16896.610758065,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2016","2016","EUR","Euro","0","Unités","2020","2020",16508.0022752555,,
"GRC","Grèce","CNPNCU","en prix constants 2020 et en monnaie nationale ","2017","2017","EUR","Euro","0","Unités","2020","2020",16602.7373514748,,
