Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
;;OUI;;28;2;;;OUI;OUI;2022-03-10T17:57:18+01:00;;;
;;OUI;;21;0;;;OUI;OUI;2022-03-10T17:57:19+01:00;;;
;;OUI;;19;1;;;OUI;OUI;2022-03-10T17:58:27+01:00;;;
;;OUI;;24;1;;;OUI;OUI;2022-03-10T17:55:18+01:00;;;
;;OUI;;17;3;;;OUI;OUI;2022-03-10T17:53:37+01:00;;;
;;OUI;;22;0;;;OUI;OUI;2022-03-10T17:55:43+01:00;;;
;;OUI;;19;43;;;OUI;OUI;2022-03-10T17:57:11+01:00;;;
;;OUI;;28;9;;;OUI;OUI;2022-03-10T17:56:03+01:00;;;
;;OUI;;45;1;;;OUI;OUI;2022-03-10T17:52:28+01:00;;;
;;OUI;;16;0;;;NON;NON;2021-02-21T21:15:22+01:00;;;
;;OUI;;32;1;;;OUI;OUI;2022-03-10T17:56:40+01:00;;;
;;OUI;;51;2;;;OUI;OUI;2022-03-10T17:55:18+01:00;;;
;;OUI;;15;22;;;OUI;OUI;2022-03-10T17:57:41+01:00;;;
;;OUI;;19;7;;;OUI;OUI;2022-03-10T17:55:46+01:00;;;
;;OUI;;3;32;;;OUI;OUI;2022-03-10T17:58:01+01:00;;;
;;OUI;;24;4;;;OUI;OUI;2022-03-10T17:55:15+01:00;;;
;;OUI;;31;8;;;OUI;OUI;2022-03-10T17:58:06+01:00;;;
;;OUI;;14;2;;;OUI;OUI;2022-03-10T17:58:18+01:00;;;
;;OUI;;18;3;;;OUI;OUI;2022-03-10T17:56:51+01:00;;;
;;OUI;;57;4;;;OUI;OUI;2022-03-10T17:51:15+01:00;;;
;;OUI;;31;2;;;OUI;OUI;2022-03-10T17:57:19+01:00;;;
;;OUI;;18;2;;;OUI;OUI;2022-03-10T17:55:11+01:00;;;
;;OUI;;23;0;;;OUI;OUI;2022-03-10T17:52:23+01:00;;;
;;OUI;;26;4;;;OUI;OUI;2022-03-10T17:58:27+01:00;;;
;;OUI;;20;10;;;OUI;OUI;2022-03-10T17:49:37+01:00;;;
;;OUI;;13;11;;;OUI;OUI;2022-03-10T17:57:58+01:00;;;
;;OUI;;13;17;;;OUI;OUI;2022-03-10T17:58:34+01:00;;;
;;OUI;;23;11;;;OUI;OUI;2022-03-10T17:58:31+01:00;;;
;;OUI;;30;0;;;OUI;OUI;2022-03-10T17:58:33+01:00;;;
;;OUI;;7;19;;;OUI;OUI;2022-03-10T17:56:30+01:00;;;
;;OUI;;15;17;;;OUI;OUI;2022-03-10T17:58:42+01:00;;;
;;OUI;;22;1;;;OUI;OUI;2022-03-10T17:54:39+01:00;;;
;;OUI;;3;26;;;OUI;OUI;2022-03-10T17:57:27+01:00;;;
