,year,region,total,men,women
212,2010.0,Provence-Alpes-Côted'Azur,4899155.0,2340637.0,2558518.0
213,2010.0,France métropolitaine,62765235.0,30397950.0,32367285.0
214,2010.0,Guadeloupe,403355.0,187912.0,215443.0
215,2010.0,Martinique,394173.0,182110.0,212063.0
216,2010.0,Guyane,229040.0,113607.0,115433.0
217,2010.0,La Réunion,821136.0,397953.0,423183.0
218,2010.0,DOM,1847704.0,881582.0,966122.0
219,2010.0,France métropolitaine et DOM,64612939.0,31279532.0,33333407.0
220,2011.0,Auvergne-Rhône-Alpes,7634223.0,3716132.0,3918091.0
221,2011.0,Bourgogne-Franche-Comté,2816174.0,1372836.0,1443338.0
222,2011.0,Bretagne,3217767.0,1563341.0,1654426.0
223,2011.0,Centre-Val-de-Loire,2556835.0,1242058.0,1314777.0
224,2011.0,Corse,314486.0,154075.0,160411.0
225,2011.0,Grand Est,5539035.0,2703035.0,2836000.0
226,2011.0,Hauts-de-France,5960170.0,2888235.0,3071935.0
227,2011.0,Île-de-France,11852851.0,5725491.0,6127360.0
228,2011.0,Normandie,3315077.0,1603920.0,1711157.0
229,2011.0,Nouvelle-Aquitaine,5773078.0,2783870.0,2989208.0
230,2011.0,Occitanie,5573466.0,2695768.0,2877698.0
231,2011.0,Pays de la Loire,3601113.0,1754154.0,1846959.0
232,2011.0,Provence-Alpes-Côted'Azur,4916069.0,2350713.0,2565356.0
233,2011.0,France métropolitaine,63070344.0,30553628.0,32516716.0
234,2011.0,Guadeloupe,404635.0,187782.0,216853.0
235,2011.0,Martinique,392291.0,180676.0,211615.0
236,2011.0,Guyane,237549.0,117732.0,119817.0
237,2011.0,La Réunion,828581.0,401139.0,427442.0
238,2011.0,DOM,1863056.0,887329.0,975727.0
239,2011.0,France métropolitaine et DOM,64933400.0,31440957.0,33492443.0
