DATAFLOW,LAST UPDATE,freq,tax,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2013,2.44,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2014,2.44,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2015,2.41,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2016,2.44,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2017,2.4,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2018,2.38,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2019,2.34,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EA19,2020,2.21,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,1995,0.86,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,1996,1.4,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,1997,1.5,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,1998,1.88,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,1999,1.68,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2000,1.69,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2001,2.11,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2002,1.98,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2003,1.88,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2004,2.09,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2005,2.25,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2006,2.18,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2007,2.17,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2008,2.3,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2009,2.94,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2010,2.93,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2011,2.72,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2012,2.73,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2013,2.56,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2014,2.66,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2015,2.73,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2016,2.97,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2017,2.86,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2018,2.75,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2019,3.21,
ESTAT:T2020_RT320(1.0),18/01/22 11:00:00,A,ENV,PC_GDP,EE,2020,2.45,
