DATAFLOW,LAST UPDATE,freq,airpol,src_crf,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,1999,70.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2000,75.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2001,75.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2002,73.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2003,75.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2004,76.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2005,75.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2006,75.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2007,76.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2008,74.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2009,69.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2010,71.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2011,70.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2012,68.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2013,65.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2014,64.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2015,65.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2016,65.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2017,66.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2018,65.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,CZ,2019,62.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1991,96.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1992,92.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1993,91.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1994,90.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1995,90.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1996,91.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1997,88.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1998,86.9,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,1999,84.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2000,84.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2001,85.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2002,83.8,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2003,83.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2004,82.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2005,80.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2006,81.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2007,79.2,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2008,79.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2009,74.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2010,76.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2011,74.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2012,75.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2013,76.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2014,73.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2015,73.7,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2016,74.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2017,73.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2018,70.3,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DE,2019,66.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1990,100.0,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1991,114.6,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1992,106.4,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1993,109.5,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1994,115.1,
ESTAT:SDG_13_10(1.0),17/08/21 23:00:00,A,GHG,TOTX4_MEMONIA,I90,DK,1995,111.0,
